n,d1,d2,d3
1,0.18720,1.97600,0.264595
2,0.18720,1.99576,0.264266
3,0.18720,2.01552,0.268065
4,0.18720,2.03528,0.267485
5,0.18720,2.05504,0.272069
6,0.24960,1.97600,0.264371
7,0.24960,1.99576,0.266674
8,0.24960,2.01552,0.266289
9,0.24960,2.03528,0.268385
10,0.24960,2.05504,0.268180
11,0.31200,1.97600,0.265750
12,0.31200,1.99576,0.267022
13,0.31200,2.01552,0.252951
14,0.31200,2.03528,0.271814
15,0.31200,2.05504,0.273565
16,0.37440,1.97600,0.272704
17,0.37440,1.99576,0.275205
18,0.37440,2.01552,0.274096
19,0.37440,2.03528,0.273917
20,0.37440,2.05504,0.274826
21,0.43680,1.97600,0.274406
22,0.43680,1.99576,0.274281
23,0.43680,2.01552,0.276722
24,0.43680,2.03528,0.277076
25,0.43680,2.05504,0.273298
26,0.49920,1.97600,0.278620
27,0.49920,1.99576,0.270652
28,0.49920,2.01552,0.271933
29,0.49920,2.03528,0.274424
30,0.49920,2.05504,0.268378
31,0.56160,1.97600,0.264404
32,0.56160,1.99576,0.265531
33,0.56160,2.01552,0.260996
34,0.56160,2.03528,0.257498
35,0.56160,2.05504,0.266636
36,0.62400,1.97600,0.254387
37,0.62400,1.99576,0.255435
38,0.62400,2.01552,0.254712
39,0.62400,2.03528,0.255079
40,0.62400,2.05504,0.254566
