n,d1,d2,d3
1,0.781030,1.640178,0.258200
2,0.781030,1.676626,0.249625
3,0.781030,1.713074,0.252653
4,0.781030,1.749523,0.247289
5,0.781030,1.785971,0.242279
6,0.781030,1.822420,0.235411
7,0.859133,1.640178,0.244358
8,0.859133,1.676626,0.241740
9,0.859133,1.713074,0.241476
10,0.859133,1.749523,0.236117
11,0.859133,1.785971,0.236361
12,0.859133,1.822420,0.239384
13,0.937236,1.640178,0.237229
14,0.937236,1.676626,0.234763
15,0.937236,1.713074,0.233862
16,0.937236,1.749523,0.230153
17,0.937236,1.785971,0.229466
18,0.937236,1.822420,0.228470
19,1.015339,1.640178,0.232502
20,1.015339,1.676626,0.230423
21,1.015339,1.713074,0.227079
22,1.015339,1.749523,0.227594
23,1.015339,1.785971,0.224837
24,1.015339,1.822420,0.225949
25,1.093442,1.640178,0.231611
26,1.093442,1.676626,0.230182
27,1.093442,1.713074,0.227123
28,1.093442,1.749523,0.227216
29,1.093442,1.785971,0.231078
30,1.093442,1.822420,0.230252
31,1.171545,1.640178,0.228199
32,1.171545,1.676626,0.226117
33,1.171545,1.713074,0.233507
34,1.171545,1.749523,0.233369
35,1.171545,1.785971,0.233412
36,1.171545,1.822420,0.228086
