n,d1,d2,d3
1,0.15621,0.36448,0.235797
2,0.15621,0.72897,0.235797
3,0.15621,1.09345,0.378312
4,0.15621,1.45794,0.277579
5,0.15621,1.82242,0.251472
6,0.15621,2.18690,0.237080
7,0.15621,2.55139,0.236957
8,0.15621,2.91587,0.255911
9,0.15621,3.28036,0.285205
10,0.31241,0.36448,0.285205
11,0.31241,0.72897,0.285205
12,0.31241,1.09345,0.383284
13,0.31241,1.45794,0.248547
14,0.31241,1.82242,0.218773
15,0.31241,2.18690,0.224385
16,0.31241,2.55139,0.244364
17,0.31241,2.91587,0.252225
18,0.31241,3.28036,0.280093
19,0.46862,0.36448,0.280093
20,0.46862,0.72897,0.280093
21,0.46862,1.09345,0.332123
22,0.46862,1.45794,0.233794
23,0.46862,1.82242,0.228730
24,0.46862,2.18690,0.219484
25,0.46862,2.55139,0.246584
26,0.46862,2.91587,0.282396
27,0.46862,3.28036,0.312415
28,0.62482,0.36448,0.312415
29,0.62482,0.72897,0.312415
30,0.62482,1.09345,0.288798
31,0.62482,1.45794,0.229458
32,0.62482,1.82242,0.223691
33,0.62482,2.18690,0.241035
34,0.62482,2.55139,0.261537
35,0.62482,2.91587,0.348434
36,0.62482,3.28036,0.348434
37,0.78103,0.36448,0.348434
38,0.78103,0.72897,0.348434
39,0.78103,1.09345,0.321422
40,0.78103,1.45794,0.255501
41,0.78103,1.82242,0.221457
42,0.78103,2.18690,0.243987
43,0.78103,2.55139,0.279998
44,0.78103,2.91587,0.312573
45,0.78103,3.28036,0.368727
46,0.93724,0.36448,0.368727
47,0.93724,0.72897,0.368727
48,0.93724,1.09345,0.357573
49,0.93724,1.45794,0.244492
50,0.93724,1.82242,0.226523
51,0.93724,2.18690,0.247508
52,0.93724,2.55139,0.286699
53,0.93724,2.91587,0.347381
54,0.93724,3.28036,0.412748
55,1.09344,0.36448,0.412748
56,1.09344,0.72897,0.412748
57,1.09344,1.09345,0.343810
58,1.09344,1.45794,0.236654
59,1.09344,1.82242,0.232003
60,1.09344,2.18690,0.257221
61,1.09344,2.55139,0.293147
62,1.09344,2.91587,0.356292
63,1.09344,3.28036,0.421779
64,1.24965,0.36448,0.421779
65,1.24965,0.72897,0.421779
66,1.24965,1.09345,0.374070
67,1.24965,1.45794,0.260828
68,1.24965,1.82242,0.237650
69,1.24965,2.18690,0.265664
70,1.24965,2.55139,0.324659
71,1.24965,2.91587,0.380694
72,1.24965,3.28036,0.425564
73,1.40585,0.36448,0.425564
74,1.40585,0.72897,0.425564
75,1.40585,1.09345,0.383088
76,1.40585,1.45794,0.292947
77,1.40585,1.82242,0.259208
78,1.40585,2.18690,0.273157
79,1.40585,2.55139,0.330328
80,1.40585,2.91587,0.407008
81,1.40585,3.28036,0.444944
