n,d1,d2,d3
1,0.18720,1.97600,0.302133
2,0.18720,2.07480,0.308125
3,0.18720,2.17360,0.316632
4,0.18720,2.27240,0.306088
5,0.18720,2.37120,0.319696
6,0.24960,1.97600,0.300161
7,0.24960,2.07480,0.306546
8,0.24960,2.17360,0.310183
9,0.24960,2.27240,0.298861
10,0.24960,2.37120,0.290455
11,0.31200,1.97600,0.307441
12,0.31200,2.07480,0.305733
13,0.31200,2.17360,0.305316
14,0.31200,2.27240,0.306903
15,0.31200,2.37120,0.291787
16,0.37440,1.97600,0.306054
17,0.37440,2.07480,0.307720
18,0.37440,2.17360,0.298955
19,0.37440,2.27240,0.282535
20,0.37440,2.37120,0.292543
21,0.43680,1.97600,0.310012
22,0.43680,2.07480,0.297496
23,0.43680,2.17360,0.288820
24,0.43680,2.27240,0.285461
25,0.43680,2.37120,0.295992
26,0.49920,1.97600,0.309647
27,0.49920,2.07480,0.303634
28,0.49920,2.17360,0.285367
29,0.49920,2.27240,0.287230
30,0.49920,2.37120,0.296160
31,0.56160,1.97600,0.297718
32,0.56160,2.07480,0.276030
33,0.56160,2.17360,0.283702
34,0.56160,2.27240,0.285998
35,0.56160,2.37120,0.293187
36,0.62400,1.97600,0.273263
37,0.62400,2.07480,0.269589
38,0.62400,2.17360,0.277968
39,0.62400,2.27240,0.281627
40,0.62400,2.37120,0.292055
41,0.68640,1.97600,0.265525
42,0.68640,2.07480,0.264123
43,0.68640,2.17360,0.269834
44,0.68640,2.27240,0.274655
45,0.68640,2.37120,0.283213
46,0.74880,1.97600,0.258882
47,0.74880,2.07480,0.259703
48,0.74880,2.17360,0.263807
49,0.74880,2.27240,0.266952
50,0.74880,2.37120,0.271589
51,0.81120,1.97600,0.251738
52,0.81120,2.07480,0.250833
53,0.81120,2.17360,0.254786
54,0.81120,2.27240,0.260609
55,0.81120,2.37120,0.265669
56,0.87360,1.97600,0.245895
57,0.87360,2.07480,0.246483
58,0.87360,2.17360,0.248829
59,0.87360,2.27240,0.251589
60,0.87360,2.37120,0.261051
