n,d1,d2,d3
1,0.484242,1.077828,0.318971
2,0.484242,1.257466,0.374105
3,0.484242,1.437104,0.313720
4,0.484242,1.616742,0.313720
5,0.484242,1.796380,0.310794
6,0.484242,1.976018,0.262066
7,0.484242,2.155656,0.236170
8,0.484242,2.335294,0.247189
9,0.484242,2.514932,0.245138
10,0.484242,2.694570,0.258045
11,0.564949,1.077828,0.459981
12,0.564949,1.257466,0.357730
13,0.564949,1.437104,0.318963
14,0.564949,1.616742,0.327988
15,0.564949,1.796380,0.304823
16,0.564949,1.976018,0.252061
17,0.564949,2.155656,0.238943
18,0.564949,2.335294,0.242285
19,0.564949,2.514932,0.244800
20,0.564949,2.694570,0.270658
21,0.645656,1.077828,0.428505
22,0.645656,1.257466,0.343524
23,0.645656,1.437104,0.326941
24,0.645656,1.616742,0.326795
25,0.645656,1.796380,0.295960
26,0.645656,1.976018,0.236023
27,0.645656,2.155656,0.243223
28,0.645656,2.335294,0.240887
29,0.645656,2.514932,0.248935
30,0.645656,2.694570,0.271957
31,0.726363,1.077828,0.399194
32,0.726363,1.257466,0.339175
33,0.726363,1.437104,0.339041
34,0.726363,1.616742,0.312506
35,0.726363,1.796380,0.257266
36,0.726363,1.976018,0.236130
37,0.726363,2.155656,0.234673
38,0.726363,2.335294,0.236051
39,0.726363,2.514932,0.249011
40,0.726363,2.694570,0.265439
41,0.807070,1.077828,0.363328
42,0.807070,1.257466,0.348450
43,0.807070,1.437104,0.335203
44,0.807070,1.616742,0.296452
45,0.807070,1.796380,0.237514
46,0.807070,1.976018,0.234994
47,0.807070,2.155656,0.227183
48,0.807070,2.335294,0.228979
49,0.807070,2.514932,0.246945
50,0.807070,2.694570,0.250843
51,0.887777,1.077828,0.349183
52,0.887777,1.257466,0.355795
53,0.887777,1.437104,0.326390
54,0.887777,1.616742,0.265579
55,0.887777,1.796380,0.236686
56,0.887777,1.976018,0.226358
57,0.887777,2.155656,0.222574
58,0.887777,2.335294,0.229178
59,0.887777,2.514932,0.237564
60,0.887777,2.694570,0.252523
61,0.968484,1.077828,0.366589
62,0.968484,1.257466,0.358371
63,0.968484,1.437104,0.314952
64,0.968484,1.616742,0.262085
65,0.968484,1.796380,0.241079
66,0.968484,1.976018,0.223897
67,0.968484,2.155656,0.218497
68,0.968484,2.335294,0.227841
69,0.968484,2.514932,0.235335
70,0.968484,2.694570,0.254761
71,1.049191,1.077828,0.386589
72,1.049191,1.257466,0.362330
73,1.049191,1.437104,0.290731
74,1.049191,1.616742,0.253404
75,1.049191,1.796380,0.239560
76,1.049191,1.976018,0.226638
77,1.049191,2.155656,0.222711
78,1.049191,2.335294,0.225301
79,1.049191,2.514932,0.231980
80,1.049191,2.694570,0.255519
81,1.129898,1.077828,0.419584
82,1.129898,1.257466,0.370354
83,1.129898,1.437104,0.289298
84,1.129898,1.616742,0.260614
85,1.129898,1.796380,0.241881
86,1.129898,1.976018,0.228830
87,1.129898,2.155656,0.229830
88,1.129898,2.335294,0.230623
89,1.129898,2.514932,0.239124
90,1.129898,2.694570,0.267535
91,1.210605,1.077828,0.441002
92,1.210605,1.257466,0.341056
93,1.210605,1.437104,0.285078
94,1.210605,1.616742,0.267105
95,1.210605,1.796380,0.246401
96,1.210605,1.976018,0.234901
97,1.210605,2.155656,0.234322
98,1.210605,2.335294,0.227737
99,1.210605,2.514932,0.246671
100,1.210605,2.694570,0.274240
