n,d1,d2,d3
1,0.374400,1.976000,0.300555
2,0.374400,2.025400,0.301926
3,0.374400,2.074800,0.296096
4,0.374400,2.124200,0.276516
5,0.374400,2.173600,0.264763
6,0.436800,1.976000,0.302901
7,0.436800,2.025400,0.287276
8,0.436800,2.074800,0.278472
9,0.436800,2.124200,0.267338
10,0.436800,2.173600,0.254641
11,0.499200,1.976000,0.286878
12,0.499200,2.025400,0.277193
13,0.499200,2.074800,0.269946
14,0.499200,2.124200,0.256179
15,0.499200,2.173600,0.252951
16,0.561600,1.976000,0.271124
17,0.561600,2.025400,0.270059
18,0.561600,2.074800,0.253336
19,0.561600,2.124200,0.251485
20,0.561600,2.173600,0.256101
21,0.624000,1.976000,0.248710
22,0.624000,2.025400,0.248181
23,0.624000,2.074800,0.245858
24,0.624000,2.124200,0.251916
25,0.624000,2.173600,0.274281
