n,d1,d2,d3
1,0.781030,1.640178,0.301358
2,0.781030,1.676626,0.271647
3,0.781030,1.713074,0.261898
4,0.781030,1.749523,0.254388
5,0.781030,1.785971,0.247787
6,0.781030,1.822420,0.245271
7,0.859133,1.640178,0.265109
8,0.859133,1.676626,0.261917
9,0.859133,1.713074,0.245673
10,0.859133,1.749523,0.238795
11,0.859133,1.785971,0.235490
12,0.859133,1.822420,0.240873
13,0.937236,1.640178,0.255674
14,0.937236,1.676626,0.249974
15,0.937236,1.713074,0.242189
16,0.937236,1.749523,0.237797
17,0.937236,1.785971,0.235411
18,0.937236,1.822420,0.238686
19,1.015339,1.640178,0.251515
20,1.015339,1.676626,0.250865
21,1.015339,1.713074,0.244783
22,1.015339,1.749523,0.240164
23,1.015339,1.785971,0.237500
24,1.015339,1.822420,0.239772
25,1.093442,1.640178,0.256441
26,1.093442,1.676626,0.255880
27,1.093442,1.713074,0.246970
28,1.093442,1.749523,0.241049
29,1.093442,1.785971,0.239824
30,1.093442,1.822420,0.239379
31,1.171545,1.640178,0.261488
32,1.171545,1.676626,0.258112
33,1.171545,1.713074,0.253737
34,1.171545,1.749523,0.242753
35,1.171545,1.785971,0.241114
36,1.171545,1.822420,0.239184
