n,d1,d2,d3
1,0.52416,1.06704,0.330333
2,0.52416,1.24488,0.286923
3,0.52416,1.42272,0.255505
4,0.52416,1.60056,0.216835
5,0.52416,1.77840,0.239557
6,0.52416,1.95624,0.234863
7,0.52416,2.13408,0.229414
8,0.52416,2.31192,0.245046
9,0.52416,2.48976,0.250660
10,0.61152,1.06704,0.322838
11,0.61152,1.24488,0.282698
12,0.61152,1.42272,0.232625
13,0.61152,1.60056,0.229660
14,0.61152,1.77840,0.236122
15,0.61152,1.95624,0.223363
16,0.61152,2.13408,0.236020
17,0.61152,2.31192,0.248205
18,0.61152,2.48976,0.252945
19,0.69888,1.06704,0.335750
20,0.69888,1.24488,0.283015
21,0.69888,1.42272,0.225070
22,0.69888,1.60056,0.233458
23,0.69888,1.77840,0.229611
24,0.69888,1.95624,0.222664
25,0.69888,2.13408,0.238867
26,0.69888,2.31192,0.249832
27,0.69888,2.48976,0.254407
28,0.78624,1.06704,0.337186
29,0.78624,1.24488,0.266596
30,0.78624,1.42272,0.242246
31,0.78624,1.60056,0.229954
32,0.78624,1.77840,0.223444
33,0.78624,1.95624,0.222990
34,0.78624,2.13408,0.236451
35,0.78624,2.31192,0.244292
36,0.78624,2.48976,0.261247
37,0.87360,1.06704,0.355938
38,0.87360,1.24488,0.274195
39,0.87360,1.42272,0.248888
40,0.87360,1.60056,0.228916
41,0.87360,1.77840,0.216441
42,0.87360,1.95624,0.226887
43,0.87360,2.13408,0.238056
44,0.87360,2.31192,0.245839
45,0.87360,2.48976,0.266692
46,0.96096,1.06704,0.339189
47,0.96096,1.24488,0.285758
48,0.96096,1.42272,0.248551
49,0.96096,1.60056,0.221302
50,0.96096,1.77840,0.217597
51,0.96096,1.95624,0.230443
52,0.96096,2.13408,0.238620
53,0.96096,2.31192,0.253580
54,0.96096,2.48976,0.267190
55,1.04832,1.06704,0.355737
56,1.04832,1.24488,0.304766
57,1.04832,1.42272,0.249505
58,1.04832,1.60056,0.222428
59,1.04832,1.77840,0.221521
60,1.04832,1.95624,0.231805
61,1.04832,2.13408,0.241843
62,1.04832,2.31192,0.259865
63,1.04832,2.48976,0.267833
64,1.13568,1.06704,0.382197
65,1.13568,1.24488,0.316617
66,1.13568,1.42272,0.248759
67,1.13568,1.60056,0.226439
68,1.13568,1.77840,0.229703
69,1.13568,1.95624,0.235800
70,1.13568,2.13408,0.251127
71,1.13568,2.31192,0.260911
72,1.13568,2.48976,0.275817
73,1.22304,1.06704,0.388155
74,1.22304,1.24488,0.321286
75,1.22304,1.42272,0.251703
76,1.22304,1.60056,0.241797
77,1.22304,1.77840,0.232856
78,1.22304,1.95624,0.241870
79,1.22304,2.13408,0.260740
80,1.22304,2.31192,0.266420
81,1.22304,2.48976,0.290799
