n,d1,d2,d3
1,0.468618,1.093452,0.333619
2,0.468618,1.275694,0.246163
3,0.468618,1.457936,0.231398
4,0.468618,1.640178,0.215723
5,0.468618,1.822420,0.225467
6,0.468618,2.004662,0.218257
7,0.468618,2.186904,0.218356
8,0.468618,2.369146,0.237804
9,0.468618,2.551388,0.244258
10,0.546721,1.093452,0.302778
11,0.546721,1.275694,0.257275
12,0.546721,1.457936,0.226386
13,0.546721,1.640178,0.222871
14,0.546721,1.822420,0.221258
15,0.546721,2.004662,0.217644
16,0.546721,2.186904,0.230872
17,0.546721,2.369146,0.243188
18,0.546721,2.551388,0.251095
19,0.624824,1.093452,0.283258
20,0.624824,1.275694,0.258178
21,0.624824,1.457936,0.228962
22,0.624824,1.640178,0.229809
23,0.624824,1.822420,0.223051
24,0.624824,2.004662,0.221258
25,0.624824,2.186904,0.237200
26,0.624824,2.369146,0.246797
27,0.624824,2.551388,0.257263
28,0.702927,1.093452,0.297813
29,0.702927,1.275694,0.251289
30,0.702927,1.457936,0.241143
31,0.702927,1.640178,0.224356
32,0.702927,1.822420,0.223662
33,0.702927,2.004662,0.222958
34,0.702927,2.186904,0.242175
35,0.702927,2.369146,0.254445
36,0.702927,2.551388,0.270476
37,0.781030,1.093452,0.318710
38,0.781030,1.275694,0.265003
39,0.781030,1.457936,0.253249
40,0.781030,1.640178,0.225488
41,0.781030,1.822420,0.220563
42,0.781030,2.004662,0.226676
43,0.781030,2.186904,0.245344
44,0.781030,2.369146,0.251994
45,0.781030,2.551388,0.275520
46,0.859133,1.093452,0.348332
47,0.859133,1.275694,0.281664
48,0.859133,1.457936,0.247613
49,0.859133,1.640178,0.229706
50,0.859133,1.822420,0.222578
51,0.859133,2.004662,0.234612
52,0.859133,2.186904,0.248634
53,0.859133,2.369146,0.261942
54,0.859133,2.551388,0.288542
55,0.937236,1.093452,0.352613
56,0.937236,1.275694,0.294358
57,0.937236,1.457936,0.244444
58,0.937236,1.640178,0.223924
59,0.937236,1.822420,0.226138
60,0.937236,2.004662,0.233286
61,0.937236,2.186904,0.245813
62,0.937236,2.369146,0.269980
63,0.937236,2.551388,0.285043
64,1.015339,1.093452,0.349537
65,1.015339,1.275694,0.305052
66,1.015339,1.457936,0.245181
67,1.015339,1.640178,0.220832
68,1.015339,1.822420,0.231572
69,1.015339,2.004662,0.235287
70,1.015339,2.186904,0.247509
71,1.015339,2.369146,0.271877
72,1.015339,2.551388,0.286522
73,1.093442,1.093452,0.342410
74,1.093442,1.275694,0.300907
75,1.093442,1.457936,0.240348
76,1.093442,1.640178,0.225321
77,1.093442,1.822420,0.231780
78,1.093442,2.004662,0.236392
79,1.093442,2.186904,0.254293
80,1.093442,2.369146,0.276050
81,1.093442,2.551388,0.292002
