n,d1,d2,d3
1,0.781030,1.640178,0.239281
2,0.781030,1.676626,0.236513
3,0.781030,1.713074,0.232568
4,0.781030,1.749523,0.233165
5,0.781030,1.785971,0.227757
6,0.781030,1.822420,0.224837
7,0.859133,1.640178,0.239476
8,0.859133,1.676626,0.233797
9,0.859133,1.713074,0.224423
10,0.859133,1.749523,0.224200
11,0.859133,1.785971,0.227992
12,0.859133,1.822420,0.237771
13,0.937236,1.640178,0.235807
14,0.937236,1.676626,0.231037
15,0.937236,1.713074,0.233824
16,0.937236,1.749523,0.230466
17,0.937236,1.785971,0.232158
18,0.937236,1.822420,0.238268
19,1.015339,1.640178,0.234289
20,1.015339,1.676626,0.230913
21,1.015339,1.713074,0.232155
22,1.015339,1.749523,0.231611
23,1.015339,1.785971,0.233126
24,1.015339,1.822420,0.233962
25,1.093442,1.640178,0.233856
26,1.093442,1.676626,0.232634
27,1.093442,1.713074,0.236447
28,1.093442,1.749523,0.231634
29,1.093442,1.785971,0.233037
30,1.093442,1.822420,0.229195
31,1.171545,1.640178,0.236524
32,1.171545,1.676626,0.236850
33,1.171545,1.713074,0.237382
34,1.171545,1.749523,0.233333
35,1.171545,1.785971,0.230290
36,1.171545,1.822420,0.232732
