,n,d1,d2,d3
1,0.54542,1.33965,0.352654
2,0.54542,1.41015,0.343539
3,0.54542,1.48437,0.332025
4,0.54542,1.56250,0.330748
5,0.54542,1.64473,0.335390
6,0.54542,1.73130,0.327649
7,0.54542,1.82242,0.312243
8,0.54542,1.91354,0.274645
9,0.54542,2.00922,0.254240
10,0.54542,2.10968,0.243368
11,0.54542,2.21516,0.250035
12,0.54542,2.32592,0.252822
13,0.54542,2.44221,0.250661
14,0.54542,2.56432,0.256454
15,0.54542,2.69254,0.273107
16,0.57413,1.33965,0.354084
17,0.57413,1.41015,0.345150
18,0.57413,1.48437,0.335397
19,0.57413,1.56250,0.324645
20,0.57413,1.64473,0.330290
21,0.57413,1.73130,0.324738
22,0.57413,1.82242,0.283937
23,0.57413,1.91354,0.270190
24,0.57413,2.00922,0.248164
25,0.57413,2.10968,0.246264
26,0.57413,2.21516,0.250887
27,0.57413,2.32592,0.250245
28,0.57413,2.44221,0.251397
29,0.57413,2.56432,0.257309
30,0.57413,2.69254,0.277985
31,0.60434,1.33965,0.356156
32,0.60434,1.41015,0.342105
33,0.60434,1.48437,0.341858
34,0.60434,1.56250,0.335671
35,0.60434,1.64473,0.331680
36,0.60434,1.73130,0.317245
37,0.60434,1.82242,0.281800
38,0.60434,1.91354,0.262437
39,0.60434,2.00922,0.244555
40,0.60434,2.10968,0.245227
41,0.60434,2.21516,0.248080
42,0.60434,2.32592,0.246918
43,0.60434,2.44221,0.248658
44,0.60434,2.56432,0.257156
45,0.60434,2.69254,0.277238
46,0.63615,1.33965,0.346186
47,0.63615,1.41015,0.336771
48,0.63615,1.48437,0.340837
49,0.63615,1.56250,0.334701
50,0.63615,1.64473,0.325862
51,0.63615,1.73130,0.310911
52,0.63615,1.82242,0.275560
53,0.63615,1.91354,0.253834
54,0.63615,2.00922,0.240354
55,0.63615,2.10968,0.244127
56,0.63615,2.21516,0.247279
57,0.63615,2.32592,0.247956
58,0.63615,2.44221,0.251511
59,0.63615,2.56432,0.260152
60,0.63615,2.69254,0.279495
61,0.69963,1.33965,0.347080
62,0.69963,1.41015,0.346524
63,0.69963,1.48437,0.342114
64,0.69963,1.56250,0.324801
65,0.69963,1.64473,0.309407
66,0.69963,1.73130,0.275530
67,0.69963,1.82242,0.260502
68,0.69963,1.91354,0.243968
69,0.69963,2.00922,0.240178
70,0.69963,2.10968,0.243476
71,0.69963,2.21516,0.241828
72,0.69963,2.32592,0.246011
73,0.69963,2.44221,0.247644
74,0.69963,2.56432,0.264302
